Pressure,Beta,massratio,comp1,comp2,wtot
416973.9478957915,8.098667034056032,4.2305252681674625,0.5377675843598805,17.983798911611487,18.521566495971367
418136.2725450901,8.107166668288887,4.229153996983632,0.5742089839570047,17.927939317338407,18.50214830129541
419298.59719438874,8.115642504629601,4.227786792136118,0.6106022222682227,17.87222275609078,18.482824978359
420460.9218436873,8.124094585247922,4.226423631037547,0.6469474698379467,17.816648494735926,18.463595964573873
421623.2464929859,8.132522952155773,4.2250644912891895,0.6832448962191785,17.761215805885318,18.444460702104497
422785.5711422845,8.140927647209754,4.223709350678812,0.7194946699809955,17.705923967833755,18.42541863781475
423947.8957915831,8.149308712113095,4.222358187178759,0.7556969587169322,17.650772264499594,18.406469223216526
425110.2204408817,8.157666188417764,4.221010978943773,0.7918519290523464,17.595759985366225,18.38761191441857
426272.5450901803,8.16600011752655,4.219667704309044,0.8279597466526968,17.540886425423334,18.36884617207603
427434.8697394789,8.174310540695277,4.218328341788253,0.8640205762307215,17.48615088510962,18.35017146134034
428597.1943887775,8.182597499034522,4.216992870071598,0.9000345815543191,17.431552670256462,18.33158725181078
429759.5190380761,8.190861033512048,4.215661268023858,0.9360019254540197,17.377091092031048,18.313093017485066
430921.84368737467,8.199101184954117,4.214333514682536,0.9719227698304449,17.32276546688259,18.294688236713036
432084.1683366733,8.207317994048458,4.213009589255947,1.0077972756614262,17.268575116485756,18.27637239214718
433246.4929859719,8.215511501344634,4.211689471121387,1.0436256030098416,17.214519367689725,18.25814497069957
434408.8176352705,8.223681747257642,4.21037313982332,1.07940791103007,17.16059755246207,18.240005463492142
435571.1422845691,8.231828772068514,4.209060575071566,1.115144357976056,17.10680900783814,18.221953365814198
436733.46693386766,8.239952615926578,4.207751756739529,1.1508351012074625,17.05315307586928,18.20398817707674
437895.7915831663,8.248053318851287,4.206446664862458,1.186480297197308,16.999629103571046,18.186109400768352
439058.11623246485,8.256130920733893,4.2051452796356985,1.2220801015388274,16.94623644287304,18.16831654441187
440220.44088176347,8.264185461339293,4.203847581413025,1.2576346689517786,16.892974450569483,18.15060911952126
441382.7655310621,8.27221698030742,4.202553550704908,1.2931441532901624,16.83984248826981,18.13298664155997
442545.09018036065,8.28022551715546,4.2012631681769195,1.3286087075482114,16.78683992234975,18.115448629897962
443707.4148296593,8.288211111279148,4.19997641464805,1.3640284838673313,16.733966123903944,18.097994607771277
444869.73947895784,8.296173801954327,4.198693271089082,1.3994036335425224,16.68122046869899,18.08062410224151
446032.06412825646,8.304113628339023,4.197413718621064,1.4347343070294714,16.62860233712514,18.063336644154614
447194.3887775551,8.31203062947428,4.196137738513625,1.4700206539501184,16.576111114152763,18.04613176810288
448356.71342685365,8.319924844286465,4.194865312183564,1.5052628230999214,16.523746189284292,18.029009012384215
449519.03807615227,8.32779631158872,4.193596421193198,1.5404609624534762,16.471506956510193,18.01196791896367
450681.36272545083,8.335645070081775,4.192331047248908,1.5756152191715873,16.419392814265283,17.99500803343687
451843.68737474945,8.343471158356147,4.191069172199615,1.6107257396067178,16.367403165384115,17.978128904990832
453006.012024048,8.351274614893624,4.189810778035333,1.6457926693095128,16.315537417057268,17.96133008636678
454168.33667334664,8.35905547806833,4.188555846885697,1.680816153034961,16.263794980789346,17.944611133824306
455330.66132264526,8.366813786148166,4.187304361018573,1.71579633474834,16.21217527235678,17.92797160710512
456492.9859719438,8.37454957729669,4.18605630283852,1.7507333576311053,16.16067771176519,17.911411069396294
457655.31062124245,8.382262889573859,4.184811654885534,1.7856273640868632,16.109301723209487,17.89492908729635
458817.635270541,8.38995376093809,4.183570399833584,1.8204784957474272,16.05804673503148,17.878525230778905
459979.95991983963,8.397622229246767,4.182332520489263,1.8552868934783702,16.0069121796817,17.86219907316007
461142.2845691382,8.405268332258464,4.181097999790453,1.8900526973849303,15.95589749367763,17.84595019106256
462304.6092184368,8.41289210763366,4.179866820804941,1.924776046817657,15.905002117565736,17.82977816438339
463466.93386773544,8.420493592936044,4.178638966729255,1.959457080378051,15.854225495882687,17.81368257626074
464629.258517034,8.428072825634315,4.177414420887144,1.9940959359241057,15.80356707711597,17.797663013040076
465791.5831663326,8.43562984310248,4.176193166728475,2.0286927505760244,15.753026313667855,17.78171906424388
466953.9078156312,8.443164682622228,4.174975187827924,2.06324766072148,15.70260266181586,17.76585032253734
468116.2324649298,8.450677381382953,4.173760467883691,2.0977608020213014,15.652295581678027,17.750056383699327
469278.5571142284,8.458167976484118,4.172548990716276,2.1322323094144395,15.602104537174393,17.734336846588832
470440.881763527,8.465636504935432,4.171340740267302,2.1666623171238077,15.55202899599253,17.718691313116338
471603.2064128256,8.473083003658566,4.170135700598271,2.201050958661444,15.502068429550848,17.703119388212293
472765.5310621242,8.480507509488264,4.1689338558893905,2.2353983668331447,15.452222312964048,17.68762067979719
473927.8557114228,8.487910059173128,4.167735190438428,2.2697046737446307,15.402490125008061,17.67219479875269
475090.18036072137,8.495290689377079,4.1665396886594745,2.3039700108058367,15.352871348085772,17.656841358891608
476252.50501002,8.502649436680231,4.1653473350818775,2.3381945087364557,15.303365468193029,17.641559976929486
477414.82965931855,8.5099863375803,4.1641581143491395,2.3723782975708203,15.253971974884553,17.626350272455372
478577.1543086172,8.517301428492834,4.1629720112175965,2.4065215066630534,15.204690361242275,17.61121186790533
479739.4789579158,8.524594745753499,4.161789010555634,2.440624264691749,15.155520123840274,17.596144388532025
480901.80360721436,8.531866325617859,4.160609097342321,2.474686699664996,15.106460762714793,17.58114746237979
482064.128256513,8.539116204263411,4.159432256666489,2.508708938925374,15.057511781329955,17.56622072025533
483226.4529058116,8.546344417789527,4.158258473725595,2.5426911091544926,15.008672686548561,17.551363795703054
484388.77755511017,8.553551002219521,4.157087733824683,2.5766333363780727,14.95994298859821,17.53657632497628
485551.10220440873,8.560735993500911,4.155920022375436,2.6105357459702945,14.911322201042218,17.521857947012514
486713.42685370735,8.567899427506521,4.154755324894973,2.6443984626588803,14.862809840748323,17.507208303407204
487875.751503006,8.575041340035591,4.153593627004995,2.678221610529249,14.814405427858583,17.49262703838783
489038.07615230454,8.58216176681426,4.152434914430719,2.712005313029715,14.766108485759785,17.4781137987895
490200.40080160316,8.589260743497155,4.151279172999906,2.7457496929754153,14.717918541053171,17.463668234028585
491362.7254509018,8.596338305667496,4.150126388641843,2.7794548725532167,14.66983512352642,17.449289996079635
